name,description,keywords,price
Component 089,High-capacity cooling tower fan assembly,cooling;tower;fan,5400.00
Component 090,Automated conveyor diverter mechanism,conveyor;diverter;automation,1320.00
Component 091,Industrial-grade scale conveyor 1m,conveyor;scale;industrial,2200.00
Component 092,Acoustic measurement service (per day),service;acoustic;measurement,700.00
Component 093,Heat-traced piping cables with thermostat,heat trace;cable;thermostat,95.00
Component 094,High-efficiency particulate filter (HEPA H14),filter;HEPA;H14,110.00
Component 095,Remote SCADA integration (project-based),service;scada;integration,4200.00
Component 096,Portable vibration analyzer for rotating equipment,analyzer;vibration;portable,1250.00
Component 097,Replacement mechanical seal kit for pump,seal;mechanical;kit,95.00
Component 098,Industrial-grade solvent-resistant hoses,hoses;solvent;resistant,180.00
Component 099,On-site training course for operators (per day),service;training;onsite,650.00
Component 100,OEM warranty extension (1 year),service;warranty;extension,220.00
