sku,name,description,category,voltage_kv,conductor,cores,cross_section_mm2,insulation,armour,sheath,standard,application,fire_rating,temperature_rating,manufacturer,keywords,price_per_meter,price_per_unit,currency,in_stock,lead_time_days
SKU-HT-010,11kV XLPE 1C 70mm² Cu SWA,11kV Single Core 70mm² Copper XLPE Steel Wire Armoured Cable,HT Cable,11,Copper,1C,70,XLPE,SWA,PVC,IS:7098,Underground,,90°C,OEM Cables Ltd,cable;xlpe;copper;11kv;single;armoured,280,280000,INR,True,21
SKU-HT-011,11kV XLPE 1C 95mm² Cu SWA,11kV Single Core 95mm² Copper XLPE Steel Wire Armoured Cable,HT Cable,11,Copper,1C,95,XLPE,SWA,PVC,IS:7098,Underground,,90°C,OEM Cables Ltd,cable;xlpe;copper;11kv;single;armoured,350,350000,INR,True,28
SKU-HT-012,11kV XLPE 1C 120mm² Cu SWA,11kV Single Core 120mm² Copper XLPE Steel Wire Armoured Cable,HT Cable,11,Copper,1C,120,XLPE,SWA,PVC,IS:7098,Underground,,90°C,OEM Cables Ltd,cable;xlpe;copper;11kv;single;armoured,420,420000,INR,True,28
SKU-HT-013,11kV XLPE 1C 150mm² Cu SWA,11kV Single Core 150mm² Copper XLPE Steel Wire Armoured Cable,HT Cable,11,Copper,1C,150,XLPE,SWA,PVC,IS:7098,Underground,,90°C,OEM Cables Ltd,cable;xlpe;copper;11kv;single;armoured,500,500000,INR,True,30
SKU-HT-014,11kV XLPE 1C 185mm² Cu SWA,11kV Single Core 185mm² Copper XLPE Steel Wire Armoured Cable,HT Cable,11,Copper,1C,185,XLPE,SWA,PVC,IS:7098,Underground,,90°C,OEM Cables Ltd,cable;xlpe;copper;11kv;single;armoured,610,610000,INR,True,30
SKU-HT-015,11kV XLPE 1C 240mm² Cu SWA,11kV Single Core 240mm² Copper XLPE Steel Wire Armoured Cable,HT Cable,11,Copper,1C,240,XLPE,SWA,PVC,IS:7098,Underground,,90°C,OEM Cables Ltd,cable;xlpe;copper;11kv;single;armoured,750,750000,INR,True,30
SKU-HT-016,11kV XLPE 1C 300mm² Cu SWA,11kV Single Core 300mm² Copper XLPE Steel Wire Armoured Cable,HT Cable,11,Copper,1C,300,XLPE,SWA,PVC,IS:7098,Underground,,90°C,OEM Cables Ltd,cable;xlpe;copper;11kv;single;armoured,920,920000,INR,True,45
SKU-HT-017,11kV XLPE 3C 50mm² Al SWA,11kV 3-Core 50mm² Aluminum XLPE Steel Wire Armoured Cable,HT Cable,11,Aluminum,3C,50,XLPE,SWA,PVC,IS:7098,Underground,,90°C,OEM Cables Ltd,cable;xlpe;aluminum;11kv;armoured,280,280000,INR,True,21
SKU-HT-018,11kV XLPE 3C 70mm² Al SWA,11kV 3-Core 70mm² Aluminum XLPE Steel Wire Armoured Cable,HT Cable,11,Aluminum,3C,70,XLPE,SWA,PVC,IS:7098,Underground,,90°C,OEM Cables Ltd,cable;xlpe;aluminum;11kv;armoured,360,360000,INR,True,21
SKU-HT-019,11kV XLPE 3C 95mm² Al SWA,11kV 3-Core 95mm² Aluminum XLPE Steel Wire Armoured Cable,HT Cable,11,Aluminum,3C,95,XLPE,SWA,PVC,IS:7098,Underground,,90°C,OEM Cables Ltd,cable;xlpe;aluminum;11kv;armoured,450,450000,INR,True,28
SKU-HT-020,11kV XLPE 3C 120mm² Al SWA,11kV 3-Core 120mm² Aluminum XLPE Steel Wire Armoured Cable,HT Cable,11,Aluminum,3C,120,XLPE,SWA,PVC,IS:7098,Underground,,90°C,OEM Cables Ltd,cable;xlpe;aluminum;11kv;armoured,550,550000,INR,True,28
SKU-HT-021,33kV XLPE 3C 95mm² Cu SWA,33kV 3-Core 95mm² Copper XLPE Steel Wire Armoured Cable,HT Cable,33,Copper,3C,95,XLPE,SWA,PVC,IS:7098,Underground,,90°C,OEM Cables Ltd,cable;xlpe;copper;33kv;armoured,1250,1250000,INR,True,45
SKU-HT-022,33kV XLPE 3C 120mm² Cu SWA,33kV 3-Core 120mm² Copper XLPE Steel Wire Armoured Cable,HT Cable,33,Copper,3C,120,XLPE,SWA,PVC,IS:7098,Underground,,90°C,OEM Cables Ltd,cable;xlpe;copper;33kv;armoured,1480,1480000,INR,True,45
SKU-HT-023,33kV XLPE 3C 150mm² Cu SWA,33kV 3-Core 150mm² Copper XLPE Steel Wire Armoured Cable,HT Cable,33,Copper,3C,150,XLPE,SWA,PVC,IS:7098,Underground,,90°C,OEM Cables Ltd,cable;xlpe;copper;33kv;armoured,1750,1750000,INR,True,45
SKU-HT-024,33kV XLPE 3C 185mm² Cu SWA,33kV 3-Core 185mm² Copper XLPE Steel Wire Armoured Cable,HT Cable,33,Copper,3C,185,XLPE,SWA,PVC,IS:7098,Underground,,90°C,OEM Cables Ltd,cable;xlpe;copper;33kv;armoured,2100,2100000,INR,True,60
SKU-HT-025,33kV XLPE 3C 240mm² Cu SWA,33kV 3-Core 240mm² Copper XLPE Steel Wire Armoured Cable,HT Cable,33,Copper,3C,240,XLPE,SWA,PVC,IS:7098,Underground,,90°C,OEM Cables Ltd,cable;xlpe;copper;33kv;armoured,2550,2550000,INR,True,60
SKU-CT-001,Control Cable 2C 1.5mm² Cu PVC,2-Core 1.5mm² Copper Control Cable PVC Insulated,Control Cable,0.6,Copper,2C,1.5,PVC,Unarmoured,PVC,IS:1554,Indoor,,,OEM Cables Ltd,control;cable;pvc;copper,12,12000,INR,True,7
SKU-CT-002,Control Cable 4C 1.5mm² Cu PVC,4-Core 1.5mm² Copper Control Cable PVC Insulated,Control Cable,0.6,Copper,4C,1.5,PVC,Unarmoured,PVC,IS:1554,Indoor,,,OEM Cables Ltd,control;cable;pvc;copper,18,18000,INR,True,7
SKU-CT-003,Control Cable 7C 1.5mm² Cu PVC,7-Core 1.5mm² Copper Control Cable PVC Insulated,Control Cable,0.6,Copper,7C,1.5,PVC,Unarmoured,PVC,IS:1554,Indoor,,,OEM Cables Ltd,control;cable;pvc;copper,28,28000,INR,True,7
SKU-CT-004,Control Cable 10C 1.5mm² Cu PVC,10-Core 1.5mm² Copper Control Cable PVC Insulated,Control Cable,0.6,Copper,10C,1.5,PVC,Unarmoured,PVC,IS:1554,Indoor,,,OEM Cables Ltd,control;cable;pvc;copper,38,38000,INR,True,10
SKU-CT-005,Control Cable 12C 1.5mm² Cu PVC,12-Core 1.5mm² Copper Control Cable PVC Insulated,Control Cable,0.6,Copper,12C,1.5,PVC,Unarmoured,PVC,IS:1554,Indoor,,,OEM Cables Ltd,control;cable;pvc;copper,45,45000,INR,True,10
SKU-CT-006,Control Cable 2C 2.5mm² Cu PVC,2-Core 2.5mm² Copper Control Cable PVC Insulated,Control Cable,0.6,Copper,2C,2.5,PVC,Unarmoured,PVC,IS:1554,Indoor,,,OEM Cables Ltd,control;cable;pvc;copper,16,16000,INR,True,7
SKU-CT-007,Control Cable 4C 2.5mm² Cu PVC,4-Core 2.5mm² Copper Control Cable PVC Insulated,Control Cable,0.6,Copper,4C,2.5,PVC,Unarmoured,PVC,IS:1554,Indoor,,,OEM Cables Ltd,control;cable;pvc;copper,24,24000,INR,True,7
SKU-CT-008,Control Cable 7C 2.5mm² Cu PVC,7-Core 2.5mm² Copper Control Cable PVC Insulated,Control Cable,0.6,Copper,7C,2.5,PVC,Unarmoured,PVC,IS:1554,Indoor,,,OEM Cables Ltd,control;cable;pvc;copper,36,36000,INR,True,10
SKU-CT-009,Control Cable 10C 2.5mm² Cu PVC,10-Core 2.5mm² Copper Control Cable PVC Insulated,Control Cable,0.6,Copper,10C,2.5,PVC,Unarmoured,PVC,IS:1554,Indoor,,,OEM Cables Ltd,control;cable;pvc;copper,50,50000,INR,True,10
SKU-CT-010,Control Cable 12C 2.5mm² Cu PVC,12-Core 2.5mm² Copper Control Cable PVC Insulated,Control Cable,0.6,Copper,12C,2.5,PVC,Unarmoured,PVC,IS:1554,Indoor,,,OEM Cables Ltd,control;cable;pvc;copper,58,58000,INR,True,10
SKU-FR-001,1.1kV FRLS 3C 16mm² Cu,1.1kV 3-Core 16mm² Copper FR-LSH Cable,LT Cable,1.1,Copper,3C,16,PVC,Unarmoured,LSZH,IS:1554,Indoor,FRLS,70°C,OEM Cables Ltd,cable;frls;fire;copper;1.1kv,65,65000,INR,True,10
SKU-FR-002,1.1kV FRLS 3C 25mm² Cu,1.1kV 3-Core 25mm² Copper FR-LSH Cable,LT Cable,1.1,Copper,3C,25,PVC,Unarmoured,LSZH,IS:1554,Indoor,FRLS,70°C,OEM Cables Ltd,cable;frls;fire;copper;1.1kv,90,90000,INR,True,10
SKU-FR-003,1.1kV FRLS 3C 35mm² Cu,1.1kV 3-Core 35mm² Copper FR-LSH Cable,LT Cable,1.1,Copper,3C,35,PVC,Unarmoured,LSZH,IS:1554,Indoor,FRLS,70°C,OEM Cables Ltd,cable;frls;fire;copper;1.1kv,115,115000,INR,True,14
SKU-FR-004,1.1kV FRLS 3C 50mm² Cu,1.1kV 3-Core 50mm² Copper FR-LSH Cable,LT Cable,1.1,Copper,3C,50,PVC,Unarmoured,LSZH,IS:1554,Indoor,FRLS,70°C,OEM Cables Ltd,cable;frls;fire;copper;1.1kv,155,155000,INR,True,14
SKU-FR-005,1.1kV FRLS 3C 70mm² Cu,1.1kV 3-Core 70mm² Copper FR-LSH Cable,LT Cable,1.1,Copper,3C,70,PVC,Unarmoured,LSZH,IS:1554,Indoor,FRLS,70°C,OEM Cables Ltd,cable;frls;fire;copper;1.1kv,210,210000,INR,True,14
SKU-FR-006,1.1kV FRLS 4C 16mm² Cu,1.1kV 4-Core 16mm² Copper FR-LSH Cable,LT Cable,1.1,Copper,4C,16,PVC,Unarmoured,LSZH,IS:1554,Indoor,FRLS,70°C,OEM Cables Ltd,cable;frls;fire;copper;1.1kv,80,80000,INR,True,10
SKU-FR-007,1.1kV FRLS 4C 25mm² Cu,1.1kV 4-Core 25mm² Copper FR-LSH Cable,LT Cable,1.1,Copper,4C,25,PVC,Unarmoured,LSZH,IS:1554,Indoor,FRLS,70°C,OEM Cables Ltd,cable;frls;fire;copper;1.1kv,110,110000,INR,True,10
SKU-FR-008,1.1kV FRLS 4C 35mm² Cu,1.1kV 4-Core 35mm² Copper FR-LSH Cable,LT Cable,1.1,Copper,4C,35,PVC,Unarmoured,LSZH,IS:1554,Indoor,FRLS,70°C,OEM Cables Ltd,cable;frls;fire;copper;1.1kv,140,140000,INR,True,14
SKU-AR-001,1.1kV PVC 3C 16mm² Cu SWA,1.1kV 3-Core 16mm² Copper PVC Armoured Cable,LT Cable,1.1,Copper,3C,16,PVC,SWA,PVC,IS:1554,Underground,,,OEM Cables Ltd,cable;pvc;copper;1.1kv;armoured,75,75000,INR,True,14
SKU-AR-002,1.1kV PVC 3C 25mm² Cu SWA,1.1kV 3-Core 25mm² Copper PVC Armoured Cable,LT Cable,1.1,Copper,3C,25,PVC,SWA,PVC,IS:1554,Underground,,,OEM Cables Ltd,cable;pvc;copper;1.1kv;armoured,105,105000,INR,True,14
SKU-AR-003,1.1kV PVC 3C 35mm² Cu SWA,1.1kV 3-Core 35mm² Copper PVC Armoured Cable,LT Cable,1.1,Copper,3C,35,PVC,SWA,PVC,IS:1554,Underground,,,OEM Cables Ltd,cable;pvc;copper;1.1kv;armoured,135,135000,INR,True,14
SKU-AR-004,1.1kV PVC 3C 50mm² Cu SWA,1.1kV 3-Core 50mm² Copper PVC Armoured Cable,LT Cable,1.1,Copper,3C,50,PVC,SWA,PVC,IS:1554,Underground,,,OEM Cables Ltd,cable;pvc;copper;1.1kv;armoured,180,180000,INR,True,21
SKU-AR-005,1.1kV PVC 3C 70mm² Cu SWA,1.1kV 3-Core 70mm² Copper PVC Armoured Cable,LT Cable,1.1,Copper,3C,70,PVC,SWA,PVC,IS:1554,Underground,,,OEM Cables Ltd,cable;pvc;copper;1.1kv;armoured,240,240000,INR,True,21
SKU-AR-006,1.1kV PVC 4C 16mm² Cu SWA,1.1kV 4-Core 16mm² Copper PVC Armoured Cable,LT Cable,1.1,Copper,4C,16,PVC,SWA,PVC,IS:1554,Underground,,,OEM Cables Ltd,cable;pvc;copper;1.1kv;armoured,90,90000,INR,True,14
SKU-AR-007,1.1kV PVC 4C 25mm² Cu SWA,1.1kV 4-Core 25mm² Copper PVC Armoured Cable,LT Cable,1.1,Copper,4C,25,PVC,SWA,PVC,IS:1554,Underground,,,OEM Cables Ltd,cable;pvc;copper;1.1kv;armoured,125,125000,INR,True,14
SKU-AR-008,1.1kV PVC 4C 35mm² Cu SWA,1.1kV 4-Core 35mm² Copper PVC Armoured Cable,LT Cable,1.1,Copper,4C,35,PVC,SWA,PVC,IS:1554,Underground,,,OEM Cables Ltd,cable;pvc;copper;1.1kv;armoured,160,160000,INR,True,21
SKU-FL-001,Flexible Cable 3C 0.75mm² Cu,3-Core 0.75mm² Copper Flexible Cable,Flexible Cable,0.3,Copper,3C,0.75,PVC,Unarmoured,PVC,IS:694,Indoor,,,OEM Cables Ltd,flexible;cable;pvc;copper,8,8000,INR,True,3
SKU-FL-002,Flexible Cable 3C 1.0mm² Cu,3-Core 1.0mm² Copper Flexible Cable,Flexible Cable,0.3,Copper,3C,1.0,PVC,Unarmoured,PVC,IS:694,Indoor,,,OEM Cables Ltd,flexible;cable;pvc;copper,10,10000,INR,True,3
SKU-FL-003,Flexible Cable 3C 1.5mm² Cu,3-Core 1.5mm² Copper Flexible Cable,Flexible Cable,0.3,Copper,3C,1.5,PVC,Unarmoured,PVC,IS:694,Indoor,,,OEM Cables Ltd,flexible;cable;pvc;copper,14,14000,INR,True,3
SKU-FL-004,Flexible Cable 3C 2.5mm² Cu,3-Core 2.5mm² Copper Flexible Cable,Flexible Cable,0.3,Copper,3C,2.5,PVC,Unarmoured,PVC,IS:694,Indoor,,,OEM Cables Ltd,flexible;cable;pvc;copper,20,20000,INR,True,3
SKU-FL-005,Flexible Cable 3C 4.0mm² Cu,3-Core 4.0mm² Copper Flexible Cable,Flexible Cable,0.3,Copper,3C,4.0,PVC,Unarmoured,PVC,IS:694,Indoor,,,OEM Cables Ltd,flexible;cable;pvc;copper,30,30000,INR,True,5
SKU-FL-006,Flexible Cable 4C 0.75mm² Cu,4-Core 0.75mm² Copper Flexible Cable,Flexible Cable,0.3,Copper,4C,0.75,PVC,Unarmoured,PVC,IS:694,Indoor,,,OEM Cables Ltd,flexible;cable;pvc;copper,10,10000,INR,True,3
SKU-FL-007,Flexible Cable 4C 1.0mm² Cu,4-Core 1.0mm² Copper Flexible Cable,Flexible Cable,0.3,Copper,4C,1.0,PVC,Unarmoured,PVC,IS:694,Indoor,,,OEM Cables Ltd,flexible;cable;pvc;copper,13,13000,INR,True,3
